Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,1.0,1.0,1.0,1.0,1.0,0.9975687227951845,0.9975670073073157,0.9975711696982335,0.9975686957828118,0.9975711696982335,344.3549144268036,1.7706010341644287,1239.967875957489,29804,29698,0,0,12677,12762,39,23
2,0.9999495815266713,0.9999493705066325,0.9999497958364014,0.9999495806294869,0.9999497958364014,0.9974510803497902,0.9974470382960957,0.9974550496048376,0.9974508583086403,0.9974550496048377,346.7591154575348,1.764543056488037,1239.1071727275848,29875,29624,0,3,12599,12837,38,27
3,0.9999327753688951,0.9999327437199448,0.9999328160166616,0.9999327753494521,0.9999328160166616,0.9974510803497902,0.9974525543624447,0.9974525543624447,0.9974510803497901,0.9974525543624447,343.24734592437744,1.7687525749206543,1231.6763670444489,29765,29733,0,4,12718,12718,48,17
4,1.0,1.0,1.0,1.0,1.0,0.9975687227951845,0.9975700422772238,0.9975675203471986,0.9975686831307206,0.9975675203471988,344.0526759624481,1.7707362174987793,1230.131311416626,29706,29796,0,0,12771,12668,35,27
5,0.9999831938422238,0.9999831451205123,0.9999832428446946,0.9999831937001542,0.9999832428446946,0.9979216501313674,0.9979172513838652,0.9979275363415371,0.9979215820035958,0.9979275363415371,75.24740219116211,1.8663215637207031,989.5627398490906,29837,29664,0,1,12651,12797,38,15
6,0.9999495815266713,0.9999495933866523,0.9999495747470333,0.9999495815249483,0.9999495747470333,0.9971373671620721,0.9971413486401152,0.9971367067234507,0.9971373578473843,0.9971367067234508,343.16742753982544,1.7416419982910156,1227.3760063648224,29744,29755,0,3,12737,12691,53,20
7,1.0,1.0,1.0,1.0,1.0,0.9973726520528606,0.9973733755557314,0.997372047794902,0.9973726365222293,0.997372047794902,335.20629262924194,1.7366924285888672,1211.0666599273682,29726,29776,0,0,12748,12686,37,30
8,1.0,1.0,1.0,1.0,1.0,0.9969020822712835,0.9969067550045272,0.9969003119472779,0.9969020602432174,0.9969003119472778,350.99782514572144,1.7734956741333008,1257.7369968891144,29735,29767,0,0,12745,12677,55,24
9,0.9999831938422238,0.9999832478976112,0.9999831400053951,0.9999831936690523,0.9999831400053951,0.9970981530136073,0.9971019804843972,0.9970943847801047,0.9970979617953332,0.9970943847801046,353.5287883281708,1.7814483642578125,1269.6011238098145,29655,29846,0,1,12817,12610,43,31
10,0.9998991630533427,0.9998993626299899,0.9998989830965048,0.9998991626960747,0.9998989830965048,0.9972157954590016,0.9972212429462605,0.9972118167580589,0.9972157185798993,0.9972118167580589,348.9715337753296,1.767613172531128,1245.2556402683258,29692,29804,0,6,12782,12648,47,24
